Business LIcense,Violation Date,Violation,Inspector Comments
09FOOD-0162,1/9/18,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. Chlorine  0 ppm in the 3 compartment. Since the dispenser is not working the chlorine must be added manually or the dispenser repaired. Add chlorine to reach between 50-200 ppm
09FOOD-0162,1/9/18,(1) FOOD:  Source: wholesome; no spoilage,CRITICAL VIOLATION.Found 3 packages Oscar Meyer deli meat with a Use By date of January 7th which is 2 days expired which must be removed from the retail shelf
09FOOD-0363,1/9/18,"(16) FOOD EQUIPMENT AND UTENSILS: Dishwashing facilities: designed, constructed, maintained, installed, located.",The owner gave the wrong steps for manual dishwashing by stating he puts bleach in the second sink and rinses in the third sink.The correct steps are 1 st sink wash in soap2 nd sink rinse in clear water3 rd sanitize in bleach water
09FOOD-0162,1/9/18,(2) FOOD: Original Container; properly labeled.,The pre packaged D  and  D blueberry muffins poppy seed muffins |  chocolate cake |  do not meet the labels no requirements as the ingredients list is missing. Please provide the ingredients in order of predominance on the label.
09FOOD-0162,1/9/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.FSSMC 9/13/22 15566067 Claudia GonzalezAll food service employees must have Food Handler Training certificates on site
08FOOD-0175,1/10/18,"(12) PERSONNEL: Hands washed; clean, good hygienic practices.",CRITICAL VIOLATION.Observed employee wash her hands in the sink without soap. Use soap to wash hands. Dispenser filled
08FOOD-0175,1/10/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia in the wiping cloth bucket was at 0 ppm and has to be between 150-400 ppm
08FOOD-0175,1/10/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Provide soap and paper towels at all handsinks at all times and keep the handsink free and clear so employees can wash hands. Do not obstruct the handsink with a large refuse container in the way.
09FOOD-0117,1/11/18,"(25) FOOD EQUIPMENT AND UTENSILS: Single-service articles: storage, dispensing.",Observed loose single service articles on the floor in hard to reach areas downstairs with rodent excrement on them. Discard the items and store off the floor
09FOOD-0117,1/11/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Observed raw eggs stored on top of ready to eat fresh apples in the walkin.Store raw eggs below ready to eat foods.
09FOOD-0307,1/11/18,"(19) FOOD EQUIPMENT AND UTENSILS: Wash, rinse water: clean, proper temperature",Dirty dishes were placed in the rinse basin of the 3 compartment sink. Ensure the basins are clearly designated for 1. Wash |  2. Rinse |  3. Sanitize
09FOOD-0117,1/11/18,(1) FOOD:  Source: wholesome; no spoilage,CRITICAL VIOLATION.Found a plastic container storing a bag of  either egg whites or other yellow watery product which could not be identified that was visibly unnoticed and left to rot.Container emptied.
09FOOD-0117,1/11/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Observed several areas of the floors that have hardened dry food products on them. Floors must be free of food residue buildup and thoroughly cleaned every day.
09FOOD-0117,1/11/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",1.Observed heavy amounts of food residue on walls in all areas. Where you can see or feel food residue please remove it in a timely manner.
09FOOD-0117,1/11/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",1.The entire press wood white cabinet and shelving is severely deteriorated and heavily soiled. It will be necessary by the next routine inspection to replace the entire press wood cabinet to include the coffee maker cabinet and shelving with an NSF shelving and cabinet. The us of presswood and bare wood as shelving units is prohibited.2. Replace the homemade  bare wood table storing the slicers and mixers by the walkin unit with NSF prep tables.
09FOOD-0117,1/11/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",I did not see one sanitizing bucket in this establishment or any indication work surfaces are being sanitized. Use sanitizing buckets to clean food prep areas intermittent during the work day and night
09FOOD-0117,1/11/18,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",1.Observed several deteriorated food prep surfaces such as deteriorated Formica tops. When food contact surfaces are deteriorating and cannot be repaired such as Formica it is necessary to replace those materials with NSF equipment2. Do not use bare wood as shelving inside the 2 door refrigerator in he decorating room. Use only NSF Shelving
09FOOD-0117,1/11/18,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",1.Observed 2 unused perhaps broken ice machines. Remove broken unused equipment from the establishment.2 observed an used under counter refrigerator downstairs.Discard unused equipment.3. Discard unnecessary dusty dirty food equipment and items under the basement stairs.
09FOOD-0117,1/11/18,"(29) PLUMBING: Installed, maintained",Illinois plumbing code requires hot water to be dispensed on the left and cold water on the right. The men's room has hot water coming when the right faucet is turned on. Please correct.
09FOOD-0117,1/11/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.Please provide the name of a person Certified as n food service sanitation in addition to providing the Illinois Food Handler certificates for employees
09FOOD-0117,1/11/18,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION.1. I was told by the employees that they wash dishes in the 3 compartment sink in front as well as wash hands. Please install a separate handsink in the front Service area.2. In the middle prep area..A  handsink shall never be used to store cups or sponges but is used for handwashing only. Employees should be encouraged to wash hands frequently and this cannot be done if the sink is being used as equipment storage.In addition the hand drying device is not working. Provide a paper towel dispenser or repair the hand drying device to prevent employees from using their aprons or clothes to dry hands.
09FOOD-0117,1/11/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Observed 2 spray bottles in the back room one said Hector bleach bottle but was storing a brown liquid that did not test out as bleach and the other spray bottle had over 200 ppm of bleach in it. All spray bottles storing bleach for sanitizing work surfaces shall not exceed 200 ppm chlorine bleach.
09FOOD-0307,1/11/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Display cooler is 58F. String cheese stored in the cooler must be discarded due to being stored at a hazardous temperature. Have cooler repaired. It must maintain food at 41F or below.
09FOOD-0117,1/11/18,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION.Found rodent dropping inside unused dusty metal cake pans downstairs. Pest control cannot effectively be done when equipment and boxes are strewn in disarray or never moved and used. Eliminate rodent harborage in the basement2 observed rodent droppings on metal bait catch all boxes behind bags of donut mix.Your pest control company is not checked no the bait boxes.
09FOOD-0117,1/11/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION.The front sliding door refrigerator is operating above the maximum temp of 41 F by storing milk at 53.2 F. Discard the milk products and do not use this unit to store potentially hazardous foods until it can be repaired.This unit was not working correcting at my previous routine inspection in a June 2017.Please be advised |  repair this unit to maintain product temp throughout the day at 41 F maximum or replace the unit entirely
09FOOD-0117,1/11/18,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",Never store clean food equipment directly on the floor to the left of the computers. All clean food equipment shall be stored 6 inches off the floor on NSF shelving. Milk crates are not considered shelving as shelving must provide 6 inches of floor clearance or it must be sealed to the floor or on wheels.Shelving must always be smooth easily cleanable and non absorbent. Plywood shelving is prohibited.
09FOOD-0117,1/11/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The containers storing frosting |  decorations |  bulk food containers |  shelving units |  cabinets |  drawers |  exterior and interiors of refrigerators shall be clean and free of food residue.Please improve on cleaning equipment noted above in all areas if prep.
16FOOD-0040,1/12/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Food debris found on floors. Clean thoroughly.
16FOOD-0040,1/12/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",1. The wall board located next to the desk has peeled off and is in terrible condition. Have wall repaired to provide a smooth |  and easily cleanable surface. 2. Ceiling by register is peeling due to water damage. Repair.
16FOOD-0040,1/12/18,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Thermometer missing from walk-in cooler. Provide a thermometer.
16FOOD-0040,1/12/18,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Mouse droppings found on the floor in the bathroom and next to the dish machine. Have all droppings removed from facility. Ecolab provides pest control. Most recent visit was 1/2/2018. Continue having pest treatment.
16FOOD-0040,1/12/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,1. Area behind cooler is soiled from debris that fell from ceiling. Clean. 2. Multiple surfaces (including top of dish machine) have food debris. Clean.
09FOOD-0287,1/16/18,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. Quaternary ammonia was at 0 ppm becaus only approximately 2 ounces of quaternary ammonia was dispensed into large sink.3- 2 ounces containers were used to dispense the sainitizer and it reached 200 ppm so a sign was made to put a n the wall with those directions
09FOOD-0287,1/16/18,(38) LIGHTING: Provided as required; fixtures shielded.,Replace the burnt out bulb in the 2 door freezer
09FOOD-0287,1/16/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.Sherry Jurden FSSMC exp 1/13/1901448446Employees shall have Illinois Food Handler Certificates on site
10FOOD-0001,1/17/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Sanitize the inside of the ice machine to remove the visible mold
10FOOD-0001,1/17/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Install the paper towels into the front handsink dispenser as a roll of paper towels left on the counter can fall on the floor and get contaminated
15FOOD-0040,1/17/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Quat sanitizer in spray bottles is over 400 ppm so remake the solution and use the test strips to verify the sanitizing solution is between 150-400 ppm
10FOOD-0001,1/17/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.FSSMC Mohammad Faiz Khan exp 7/23/17Provide the name of a person with a current FSSMCMarkets Gonzaga Food Handler completed
10FOOD-0001,1/17/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION.Diced chicken and shaved beef product in the front counter unit above 45 F so they were discarded. Keep the lid closed on these front counter compartments as it will keep the temperature at the required 41 F maximum
15FOOD-0040,1/17/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.Provide the name of a person who has a Food Service Sanitation Manager Certification FSSMC
17FOOD-0008,1/17/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Boxes of food (soy milk) stored on floor in basement. Ensure all food items are stored at least 6 inches above the floor.
17FOOD-0008,1/17/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",1. Downstairs hand wash sink does not have a garbage. Provide a waste bin for disposal of paper towels. 2. Paper towels missing from hand wash sink (corrected during inspection).
09FOOD-0372,1/19/18,(13) PERSONNEL: Clean clothes; hair restraints.,Test
09FOOD-0295,1/19/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Rubber gasket on chest cooler is falling off. Repair or replace.
09FOOD-0372,1/19/18,(1) FOOD:  Source: wholesome; no spoilage,CRITICAL VIOLATION.Test test test
09FOOD-0372,1/19/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Test
09FOOD-0202,1/23/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Please pay extra attention to the cleanliness of the floor under the front black cabinets and in the back room.There is visibly heavy staining and hardened accumulation of food debris especially around the dishmachine | Under shelving units |  water softener tank |  dunnage rack storing chemicals and around the base of the walkin |  you may have to use a brush to remove the hardened food residue
08FOOD-0180,1/23/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Sanitizing Wiping cloth bucket was not set up all morning. Set up sanitizing bucket when you open in the morning and change to new solution every 4 hours or sooner if water gets dirty.Bucket set up with 200 ppm of quat
09FOOD-0202,1/23/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Provide soap at the back handsink
09FOOD-0372,1/23/18,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Please provide a thermometer for the walk in and display conspicuously.
09FOOD-0202,1/23/18,"(17) FOOD EQUIPMENT AND UTENSILS: Accurate thermometers, chemical test kits provided; gauge cock.",The quaternary ammonia test strips expired October 2017 |  please obtain new test strips
08FOOD-0180,1/23/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Clean the blue ice scoop and the blue  ice scoop holder to remove visible brown residue at the bottom of the scoop holder. **Make sure your ice machine is sanitized regularly to prevent mold and mildew as the interior is grey and I cannot tell if there is any mold or mildew**
08FOOD-0180,1/23/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.Zain Ali Malik 2/27/18 01600801All employees must have Food Handler licenses on site
09FOOD-0372,1/23/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / IodineQuaternary ammonia / Chlorine / IodinePlease store wiping cloths in sanitizing solution when not in use.
09FOOD-0372,1/23/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Please store eggs below other items in cooler.
09FOOD-0372,1/23/18,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",Cutting boards appear to be overly soiled. Please clean or replace or resurface cutting boards.
08FOOD-0180,1/23/18,"(17) FOOD EQUIPMENT AND UTENSILS: Accurate thermometers, chemical test kits provided; gauge cock.",Obtain new quaternary sanitizer test strips as the ones hanging are discolored as they are either expired or they fell in water
09FOOD-0202,1/23/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION.The cheesecakes and tiramisu in the display refrigerator are above 41 F at 46.7  and 47.2 F and must be kep at 41 F maximum. All PHF products in this unit must be discarded
09FOOD-0372,1/23/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Please store food dispensing utensils with handles out of the food.
16FOOD-0007,1/24/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia 0 ppm because no wiping clothes were being used but a wiping cloth bucket was set up for 200 ppm
16FOOD-0007,1/24/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Chemicals used for the hotel and the kitchen operation must be serrated from food equipment.I observed paint on top of an oven |  de-iced lying against food storage containers
16FOOD-0007,1/24/18,(2) FOOD: Original Container; properly labeled.,I observed unlabeled unidentifiable food products on shelves with dusty equipment that Phillips said he does not ever use. Label all unidentifiable food products
16FOOD-0007,1/24/18,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",It will be necessary to remove from the kitchen  all the broken equipment and to segregate the maintenance equipment from the food operation. There are screws |  broken floor tiles On unused equipment |  pieces of wood across the unused prep sink |  unused fryer with grease in it |  soiled dusty discarded equipment on tables |  light bulbs on shelves above food prep areas.
16FOOD-0007,1/24/18,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",Please present the handles of the silverware to the guests in the dining buffet room instead of presenting utensils with the handles facing downward. Every attempt should be made to protect utensils from multiple hand contamination
16FOOD-0007,1/24/18,"(17) FOOD EQUIPMENT AND UTENSILS: Accurate thermometers, chemical test kits provided; gauge cock.",Obtain chlorine test strips to test the chlorine sanitizer used for the dishmachine
16FOOD-0007,1/24/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",1.The floor under the unused equipment has broken glass |  dust and visible food debris.Clean the floor under the shelves of unused equipment.2. It will be necessary to take the broken tiles on the oven |  discard them and repair the broken tile in front of the ovens properly instead of using a piece of wood
16FOOD-0007,1/24/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",1.Provide handsoap in the restroom at all times2. Provide paper towels in the dispenser in the back prep/rolling room
15FOOD-0023,1/25/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Label the spray bottle storing a pink liquid to indicate the contents
17FOOD-0003,1/29/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Please keep the paper towels in the restroom in the towels holder instead of on top of the towel holder as they can easily fall on the floor and get contaminated.
09FOOD-0166,1/29/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Food containers holding chicken wings were found stored on the floor of the walk-in cooler. Store all food items at least 6 inches above the floor.
17FOOD-0003,1/29/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.FSSMC Alexander Herer exp 1/11/21 3217755Employees have food handler training certificates on site
09FOOD-0166,1/29/18,(2) FOOD: Original Container; properly labeled.,Sanitizer spray bottles were found without a label. Ensure all bottles are labeled.
17FOOD-0003,1/29/18,(38) LIGHTING: Provided as required; fixtures shielded.,Shield the ceiling light fixtures downstairs in the food storage area.
16FOOD-0001,1/30/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Store everything 6 inches off the floor in the storage closet across the restrooms so the floor can be easily cleaned and rodents can't hide
09FOOD-0357,1/26/18,"(34) GARBAGE AND REFUSE DISPOSAL: Outside storage area, enclosures; properly constructed, clean; controlled incineration.",Please keep garbage area clean.  grease trap and trash container were observed overflowed.
09FOOD-0357,1/26/18,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Please supply thermometers to coolers where missing or not displayed conspicuously
16FOOD-0001,1/30/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Milk crates are not considered shelving becaus all shelving must provide 6 inches of floor clearance or be on wheels or sealed to the floor. Purchase NSF shelving to replace milk crates
16FOOD-0001,1/30/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Over 200 ppm of bleach in the sanitizing solution. Use test strips to get between 50-200 ppm of bleach.
09FOOD-0224,1/31/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Sanitize the inside of the ice machine on a regular basis to remove pink mold on the white plastic
09FOOD-0192,1/31/18,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION.Fruit fly problem could be the direct result of the food and grease build up in the loose floor molding behind the cooking equipment under the hood. Repair the loose floor molding.
09FOOD-0322,1/31/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Provide soap and paper towels at the bar handsink.
09FOOD-0224,1/31/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Do not use small containers to dispense bulk products in a large grey container next to the pizza ovens. Always use dispensing utensils with handles
09FOOD-0224,1/31/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.o1.Observed a gallon of glass cleaner in a cabinet in the bar area that was stored on the same shelf as single service items. Toxic chemicals must be sag rated away from food and food equipment.2. Label the spray bottle in the employee restroom and by the dishwasher to identify the contents.
09FOOD-0192,1/31/18,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.","Observed clean equipment stored in the ""Dungeon"" in disarray. Please organize the food service equipment to be stored on shelves 6"" above the floor."
09FOOD-0246,2/1/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Soda dispenser nozzles are slightly soiled. Clean and sanitize the nozzles daily.
12FOOD-0023,2/1/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Black scum buildup found in ice machine. Dump ice and have ice machine cleaned and sanitized.
12FOOD-0023,2/1/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",1. Dust buildup around the vent located in the kitchen. Clean the area to prevent dust from landing on food. 2. Wall in kitchen is soiled. Clean.
12FOOD-0023,2/1/18,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floor in walk-in cooler is soiled with food debris. Clean.
17FOOD-0005,2/6/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Sandwiches in cooler are 52F. Begin checking sandwich temperatures and/or cooler temperatures upon pickup of sandwiches. Store sandwiches in a cooler during transport. Sandwiches must be stored at 41F or below.
10FOOD-0020,2/7/18,(2) FOOD: Original Container; properly labeled.,Prepackaged foods in the front self service area must meet labeling requirements as follows:Name of ProductName and address of distributorNet weightList of ingredientsList of artificial sweeteners and preservativesAll in English
17FOOD-0007,2/7/18,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Bag of rice and drinks were found on floor. Store all food items at least 6inches above the floor.
17FOOD-0007,2/7/18,(26) FOOD EQUIPMENT AND UTENSILS: No re-use of single-service articles.,Multiple food containers that are considered single-use are being reused. Discontinue this practice. Store food in reusable |  food grade containers.
10FOOD-0020,2/7/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION.The breakfast burrito item taken from the refrigerator cannot be heated in the hot holding drawer as the holding drawer is not a heating unit. Heat the refrigerated item up to temp (165 F for reheating) with a microwave or oven and then you may store in the drawer at 135 F or above.
10FOOD-0020,2/7/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.No one has the Food Service Sanitation Manager Certification and employees do not have Illinois Food Handler Training. Found d Handler training no is required with 30 days. Food service Manager Certification is required within 90 days.
